Bonus_history,Coins_Inserted_Cumulative,Coins_Acquired_Cumulative,No_of_Rotation_(excluding_bonus),No_of_Rotation_(including_bonus),Rotations_Till_bonus,Junk1,No_of_Regular_Bonus,No_of_Big_Bonus,Junk2,Junk3,Junk4,Junk5,Junk6,Junk7
,168,100,57,57,56,0,0,0,0,294,20230926165338,0,0,0
,171,103,58,58,57,0,0,0,0,294,20230926165338,0,0,0
,174,103,59,59,58,0,0,0,0,294,20230926165338,0,0,0
,177,103,60,60,59,0,0,0,0,294,20230926165338,0,0,0
,180,105,61,61,60,0,0,0,0,294,20230926165338,0,0,0
,183,105,62,62,61,0,0,0,0,294,20230926165338,0,0,0
,186,105,63,63,62,0,0,0,0,294,20230926165338,0,0,0
,189,105,64,64,63,0,0,0,0,294,20230926165338,0,0,0
,192,105,65,65,64,0,0,0,0,294,20230926165338,0,0,0
,195,105,66,66,65,0,0,0,0,294,20230926165338,0,0,0
,198,105,67,67,66,0,0,0,0,294,20230926165338,0,0,0
,201,105,68,68,67,0,0,0,0,294,20230926165338,0,0,0
,204,105,69,69,68,0,0,0,0,294,20230926165338,0,0,0
,207,105,70,70,69,0,0,0,0,294,20230926165338,0,0,0
,210,105,71,71,70,0,0,0,0,294,20230926165338,0,0,0
,213,113,72,72,71,0,0,0,0,294,20230926165338,0,0,0
,216,113,73,73,72,0,0,0,0,294,20230926165338,0,0,0
,219,121,74,74,73,0,0,0,0,294,20230926165338,0,0,0
,222,121,75,75,74,0,0,0,0,294,20230926165338,0,0,0
,225,129,76,76,75,0,0,0,0,294,20230926165338,0,0,0
,228,137,77,77,76,0,0,0,0,294,20230926165338,0,0,0
,231,137,78,78,77,0,0,0,0,294,20230926165338,0,0,0
,234,137,79,79,78,0,0,0,0,294,20230926165338,0,0,0
,237,140,80,80,79,0,0,0,0,294,20230926165338,0,0,0
,240,140,81,81,80,0,0,0,0,294,20230926165338,0,0,0
,243,140,82,82,81,0,0,0,0,294,20230926165338,0,0,0
,246,140,83,83,82,0,0,0,0,294,20230926165338,0,0,0
,249,140,84,84,83,0,0,0,0,294,20230926165338,0,0,0
,252,140,85,85,84,0,0,0,0,294,20230926165338,0,0,0
,255,148,86,86,85,0,0,0,0,294,20230926165338,0,0,0
,258,148,87,87,86,0,0,0,0,294,20230926165338,0,0,0
,261,151,88,88,87,0,0,0,0,294,20230926165338,0,0,0
,264,151,89,89,88,0,0,0,0,294,20230926165338,0,0,0
,267,154,90,90,89,0,0,0,0,294,20230926165338,0,0,0
,270,154,91,91,90,0,0,0,0,294,20230926165338,0,0,0
,273,154,92,92,91,0,0,0,0,294,20230926165338,0,0,0
,276,154,93,93,92,0,0,0,0,294,20230926165338,0,0,0
,279,154,94,94,93,0,0,0,0,294,20230926165338,0,0,0
,282,154,95,95,94,0,0,0,0,294,20230926165338,0,0,0
,285,154,96,96,95,0,0,0,0,294,20230926165338,0,0,0
,288,154,97,97,96,0,0,0,0,294,20230926165338,0,0,0
,291,154,98,98,97,0,0,0,0,294,20230926165338,0,0,0
,294,154,99,99,98,0,0,0,0,294,20230926165338,0,0,0
,297,162,100,100,99,0,0,0,0,294,20230926165338,0,0,0
,300,165,101,101,100,0,0,0,0,294,20230926165338,0,0,0
,303,165,102,102,101,0,0,0,0,294,20230926165338,0,0,0
,306,168,103,103,102,0,0,0,0,294,20230926165338,0,0,0
,309,176,104,104,103,0,0,0,0,294,20230926165338,0,0,0
,312,179,105,105,104,0,0,0,0,294,20230926165338,0,0,0
,315,187,106,106,105,0,0,0,0,294,20230926165338,0,0,0
,318,187,107,107,106,0,0,0,0,294,20230926165338,0,0,0
,321,187,108,108,107,0,0,0,0,294,20230926165338,0,0,0
,324,187,109,109,108,0,0,0,0,294,20230926165338,0,0,0
,327,187,110,110,109,0,0,0,0,294,20230926165338,0,0,0
,330,189,111,111,110,0,0,0,0,294,20230926165338,0,0,0
,333,189,112,112,111,0,0,0,0,294,20230926165338,0,0,0
,336,189,113,113,112,0,0,0,0,294,20230926165338,0,0,0
,339,197,114,114,113,0,0,0,0,294,20230926165338,0,0,0
,342,197,115,115,114,0,0,0,0,294,20230926165338,0,0,0
,345,205,116,116,115,0,0,0,0,294,20230926165338,0,0,0
,348,205,117,117,116,0,0,0,0,294,20230926165338,0,0,0
,351,208,118,118,117,0,0,0,0,294,20230926165338,0,0,0
,354,208,119,119,118,0,0,0,0,294,20230926165338,0,0,0
,357,208,120,120,119,0,0,0,0,294,20230926165338,0,0,0
,360,216,121,121,120,0,0,0,0,294,20230926165338,0,0,0
,363,216,122,122,121,0,0,0,0,294,20230926165338,0,0,0
,366,216,123,123,122,0,0,0,0,294,20230926165338,0,0,0
,369,216,124,124,123,0,0,0,0,294,20230926165338,0,0,0
,372,219,125,125,124,0,0,0,0,294,20230926165338,0,0,0
,375,219,126,126,125,0,0,0,0,294,20230926165338,0,0,0
,378,219,127,127,126,0,0,0,0,294,20230926165338,0,0,0
,381,222,128,128,127,0,0,0,0,294,20230926165338,0,0,0
,384,222,129,129,128,0,0,0,0,294,20230926165338,0,0,0
,387,222,130,130,129,0,0,0,0,294,20230926165338,0,0,0
,390,222,131,131,130,0,0,0,0,294,20230926165338,0,0,0
,393,222,132,132,131,0,0,0,0,294,20230926165338,0,0,0
,396,222,133,133,132,0,0,0,0,294,20230926165338,0,0,0
,399,225,134,134,133,0,0,0,0,294,20230926165338,0,0,0
,402,228,135,135,134,0,0,0,0,294,20230926165338,0,0,0
,405,228,136,136,135,0,0,0,0,294,20230926165338,0,0,0
,408,228,137,137,136,0,0,0,0,294,20230926165338,0,0,0
,411,228,138,138,137,0,0,0,0,294,20230926165338,0,0,0
,414,231,139,139,138,0,0,0,0,294,20230926165338,0,0,0
,417,231,140,140,139,0,0,0,0,294,20230926165338,0,0,0
,420,231,141,141,140,0,0,0,0,294,20230926165338,0,0,0
,423,231,142,142,141,0,0,0,0,294,20230926165338,0,0,0
,426,231,143,143,142,0,0,0,0,294,20230926165338,0,0,0
,429,231,144,144,143,0,0,0,0,294,20230926165338,0,0,0
,432,234,145,145,144,0,0,0,0,294,20230926165338,0,0,0
,435,237,146,146,145,0,0,0,0,294,20230926165338,0,0,0
,438,237,147,147,146,0,0,0,0,294,20230926165338,0,0,0
,441,240,148,148,147,0,0,0,0,294,20230926165338,0,0,0
,444,240,149,149,148,0,0,0,0,294,20230926165338,0,0,0
,447,240,150,150,149,0,0,0,0,294,20230926165338,0,0,0
,450,240,151,151,150,0,0,0,0,294,20230926165338,0,0,0
,453,240,152,152,151,0,0,0,0,294,20230926165338,0,0,0
,456,248,153,153,152,0,0,0,0,294,20230926165338,0,0,0
,459,251,154,154,153,0,0,0,0,294,20230926165338,0,0,0
,462,251,155,155,154,0,0,0,0,294,20230926165338,0,0,0
,465,251,156,156,155,0,0,0,0,294,20230926165338,0,0,0
,468,251,157,157,156,0,0,0,0,294,20230926165338,0,0,0
,471,251,158,158,157,0,0,0,0,294,20230926165338,0,0,0
,474,251,159,159,158,0,0,0,0,294,20230926165338,0,0,0
,477,251,160,160,159,0,0,0,0,294,20230926165338,0,0,0
,480,251,161,161,160,0,0,0,0,294,20230926165338,0,0,0
,483,251,162,162,161,0,0,0,0,294,20230926165338,0,0,0
,486,259,163,163,162,0,0,0,0,294,20230926165338,0,0,0
,489,259,164,164,163,0,0,0,0,294,20230926165338,0,0,0
,492,259,165,165,164,0,0,0,0,294,20230926165338,0,0,0
,495,259,166,166,165,0,0,0,0,294,20230926165338,0,0,0
,498,262,167,167,166,0,0,0,0,294,20230926165338,0,0,0
,501,262,168,168,167,0,0,0,0,294,20230926165338,0,0,0
,504,262,169,169,168,0,0,0,0,294,20230926165338,0,0,0
,507,270,170,170,169,0,0,0,0,294,20230926165338,0,0,0
,510,278,171,171,170,0,0,0,0,294,20230926165338,0,0,0
,513,278,172,172,171,0,0,0,0,294,20230926165338,0,0,0
,516,278,173,173,172,0,0,0,0,294,20230926165338,0,0,0
,519,286,174,174,173,0,0,0,0,294,20230926165338,0,0,0
,522,294,175,175,174,0,0,0,0,294,20230926165338,0,0,0
,525,294,176,176,175,0,0,0,0,294,20230926165338,0,0,0
,528,302,177,177,176,0,0,0,0,294,20230926165338,0,0,0
,531,302,178,178,177,0,0,0,0,294,20230926165338,0,0,0
,534,302,179,179,178,0,0,0,0,294,20230926165338,0,0,0
,537,310,180,180,179,0,0,0,0,294,20230926165338,0,0,0
RB,538,310,180,181,180,0,1,0,0,294,20230926165338,0,0,0
RB,540,324,180,182,180,0,1,0,0,294,20230926165338,0,0,0
RB,542,338,180,183,180,0,1,0,0,294,20230926165338,0,0,0
RB,544,352,180,184,180,0,1,0,0,294,20230926165338,0,0,0
RB,546,366,180,185,180,0,1,0,0,294,20230926165338,0,0,0
RB,548,380,180,186,180,0,1,0,0,294,20230926165338,0,0,0
RB,550,394,180,187,180,0,1,0,0,294,20230926165338,0,0,0
RB,552,408,180,188,180,0,1,0,0,294,20230926165338,0,0,0
,554,422,181,189,0,0,1,0,0,294,20230926165338,0,0,0
,557,422,182,190,1,0,1,0,0,294,20230926165338,0,0,0
,560,422,183,191,2,0,1,0,0,294,20230926165338,0,0,0
,563,422,184,192,3,0,1,0,0,294,20230926165338,0,0,0
,566,425,185,193,4,0,1,0,0,294,20230926165338,0,0,0
,569,428,186,194,5,0,1,0,0,294,20230926165338,0,0,0
,572,436,187,195,6,0,1,0,0,294,20230926165338,0,0,0
,575,436,188,196,7,0,1,0,0,294,20230926165338,0,0,0
,578,444,189,197,8,0,1,0,0,294,20230926165338,0,0,0
,581,447,190,198,9,0,1,0,0,294,20230926165338,0,0,0
,584,447,191,199,10,0,1,0,0,294,20230926165338,0,0,0
,587,447,192,200,11,0,1,0,0,294,20230926165338,0,0,0
,590,447,193,201,12,0,1,0,0,294,20230926165338,0,0,0
,593,447,194,202,13,0,1,0,0,294,20230926165338,0,0,0
,596,447,195,203,14,0,1,0,0,294,20230926165338,0,0,0
,599,450,196,204,15,0,1,0,0,294,20230926165338,0,0,0
,602,450,197,205,16,0,1,0,0,294,20230926165338,0,0,0
,605,450,198,206,17,0,1,0,0,294,20230926165338,0,0,0
,608,450,199,207,18,0,1,0,0,294,20230926165338,0,0,0
,611,450,200,208,19,0,1,0,0,294,20230926165338,0,0,0
,614,450,201,209,20,0,1,0,0,294,20230926165338,0,0,0
,617,450,202,210,21,0,1,0,0,294,20230926165338,0,0,0
,620,450,203,211,22,0,1,0,0,294,20230926165338,0,0,0
,623,450,204,212,23,0,1,0,0,294,20230926165338,0,0,0
,626,450,205,213,24,0,1,0,0,294,20230926165338,0,0,0
,629,458,206,214,25,0,1,0,0,294,20230926165338,0,0,0
,632,458,207,215,26,0,1,0,0,294,20230926165338,0,0,0
,635,466,208,216,27,0,1,0,0,294,20230926165338,0,0,0
,638,469,209,217,28,0,1,0,0,294,20230926165338,0,0,0
,641,469,210,218,29,0,1,0,0,294,20230926165338,0,0,0
,644,469,211,219,30,0,1,0,0,294,20230926165338,0,0,0
,647,477,212,220,31,0,1,0,0,294,20230926165338,0,0,0
,650,477,213,221,32,0,1,0,0,294,20230926165338,0,0,0
,653,477,214,222,33,0,1,0,0,294,20230926165338,0,0,0
,656,485,215,223,34,0,1,0,0,294,20230926165338,0,0,0
,659,488,216,224,35,0,1,0,0,294,20230926165338,0,0,0
,662,488,217,225,36,0,1,0,0,294,20230926165338,0,0,0
,665,496,218,226,37,0,1,0,0,294,20230926165338,0,0,0
,668,496,219,227,38,0,1,0,0,294,20230926165338,0,0,0
,671,498,220,228,39,0,1,0,0,294,20230926165338,0,0,0
,674,498,221,229,40,0,1,0,0,294,20230926165338,0,0,0
,677,498,222,230,41,0,1,0,0,294,20230926165338,0,0,0
,680,498,223,231,42,0,1,0,0,294,20230926165338,0,0,0
,683,498,224,232,43,0,1,0,0,294,20230926165338,0,0,0
,686,506,225,233,44,0,1,0,0,294,20230926165338,0,0,0
,689,506,226,234,45,0,1,0,0,294,20230926165338,0,0,0
,692,509,227,235,46,0,1,0,0,294,20230926165338,0,0,0
,695,509,228,236,47,0,1,0,0,294,20230926165338,0,0,0
,698,509,229,237,48,0,1,0,0,294,20230926165338,0,0,0
,701,509,230,238,49,0,1,0,0,294,20230926165338,0,0,0
,704,517,231,239,50,0,1,0,0,294,20230926165338,0,0,0
,707,517,232,240,51,0,1,0,0,294,20230926165338,0,0,0
,710,517,233,241,52,0,1,0,0,294,20230926165338,0,0,0
,713,517,234,242,53,0,1,0,0,294,20230926165338,0,0,0
,716,517,235,243,54,0,1,0,0,294,20230926165338,0,0,0
,719,525,236,244,55,0,1,0,0,294,20230926165338,0,0,0
,722,525,237,245,56,0,1,0,0,294,20230926165338,0,0,0
,725,525,238,246,57,0,1,0,0,294,20230926165338,0,0,0
,728,528,239,247,58,0,1,0,0,294,20230926165338,0,0,0
,731,528,240,248,59,0,1,0,0,294,20230926165338,0,0,0
,734,531,241,249,60,0,1,0,0,294,20230926165338,0,0,0
,737,539,242,250,61,0,1,0,0,294,20230926165338,0,0,0
,740,539,243,251,62,0,1,0,0,294,20230926165338,0,0,0
,743,539,244,252,63,0,1,0,0,294,20230926165338,0,0,0
,746,539,245,253,64,0,1,0,0,294,20230926165338,0,0,0
BB,747,539,245,254,65,0,1,1,0,294,20230926165338,0,0,0
BB,749,553,245,255,65,0,1,1,0,294,20230926165338,0,0,0
BB,751,567,245,256,65,0,1,1,0,294,20230926165338,0,0,0
BB,753,581,245,257,65,0,1,1,0,294,20230926165338,0,0,0
BB,755,595,245,258,65,0,1,1,0,294,20230926165338,0,0,0
BB,757,609,245,259,65,0,1,1,0,294,20230926165338,0,0,0
BB,759,623,245,260,65,0,1,1,0,294,20230926165338,0,0,0
BB,761,637,245,261,65,0,1,1,0,294,20230926165338,0,0,0
BB,763,651,245,262,65,0,1,1,0,294,20230926165338,0,0,0
BB,765,665,245,263,65,0,1,1,0,294,20230926165338,0,0,0
BB,767,679,245,264,65,0,1,1,0,294,20230926165338,0,0,0
BB,769,693,245,265,65,0,1,1,0,294,20230926165338,0,0,0
BB,771,707,245,266,65,0,1,1,0,294,20230926165338,0,0,0
BB,773,721,245,267,65,0,1,1,0,294,20230926165338,0,0,0
BB,775,735,245,268,65,0,1,1,0,294,20230926165338,0,0,0
BB,777,749,245,269,65,0,1,1,0,294,20230926165338,0,0,0
BB,779,763,245,270,65,0,1,1,0,294,20230926165338,0,0,0
BB,781,777,245,271,65,0,1,1,0,294,20230926165338,0,0,0
BB,783,791,245,272,65,0,1,1,0,294,20230926165338,0,0,0
BB,785,805,245,273,65,0,1,1,0,294,20230926165338,0,0,0
BB,787,819,245,274,65,0,1,1,0,294,20230926165338,0,0,0
,789,833,246,275,0,0,1,1,0,294,20230926165338,0,0,0
,792,833,247,276,1,0,1,1,0,294,20230926165338,0,0,0
,795,833,248,277,2,0,1,1,0,294,20230926165338,0,0,0
,798,833,249,278,3,0,1,1,0,294,20230926165338,0,0,0
,801,836,250,279,4,0,1,1,0,294,20230926165338,0,0,0
,804,836,251,280,5,0,1,1,0,294,20230926165338,0,0,0
,807,836,252,281,6,0,1,1,0,294,20230926165338,0,0,0
,810,836,253,282,7,0,1,1,0,294,20230926165338,0,0,0
,813,844,254,283,8,0,1,1,0,294,20230926165338,0,0,0
,816,844,255,284,9,0,1,1,0,294,20230926165338,0,0,0
,819,844,256,285,10,0,1,1,0,294,20230926165338,0,0,0
,822,852,257,286,11,0,1,1,0,294,20230926165338,0,0,0
,825,852,258,287,12,0,1,1,0,294,20230926165338,0,0,0
,828,852,259,288,13,0,1,1,0,294,20230926165338,0,0,0
,831,855,260,289,14,0,1,1,0,294,20230926165338,0,0,0
,834,863,261,290,15,0,1,1,0,294,20230926165338,0,0,0
,837,863,262,291,16,0,1,1,0,294,20230926165338,0,0,0
,840,871,263,292,17,0,1,1,0,294,20230926165338,0,0,0
,843,871,264,293,18,0,1,1,0,294,20230926165338,0,0,0
,846,871,265,294,19,0,1,1,0,294,20230926165338,0,0,0
,849,871,266,295,20,0,1,1,0,294,20230926165338,0,0,0
,852,879,267,296,21,0,1,1,0,294,20230926165338,0,0,0
,855,879,268,297,22,0,1,1,0,294,20230926165338,0,0,0
,858,887,269,298,23,0,1,1,0,294,20230926165338,0,0,0
,861,887,270,299,24,0,1,1,0,294,20230926165338,0,0,0
,864,887,271,300,25,0,1,1,0,294,20230926165338,0,0,0
,867,887,272,301,26,0,1,1,0,294,20230926165338,0,0,0
,870,890,273,302,27,0,1,1,0,294,20230926165338,0,0,0
,873,890,274,303,28,0,1,1,0,294,20230926165338,0,0,0
,876,898,275,304,29,0,1,1,0,294,20230926165338,0,0,0
,879,898,276,305,30,0,1,1,0,294,20230926165338,0,0,0
,882,898,277,306,31,0,1,1,0,294,20230926165338,0,0,0
,885,898,278,307,32,0,1,1,0,294,20230926165338,0,0,0
,888,906,279,308,33,0,1,1,0,294,20230926165338,0,0,0
,891,906,280,309,34,0,1,1,0,294,20230926165338,0,0,0
,894,909,281,310,35,0,1,1,0,294,20230926165338,0,0,0
,897,909,282,311,36,0,1,1,0,294,20230926165338,0,0,0
,900,917,283,312,37,0,1,1,0,294,20230926165338,0,0,0
,903,919,284,313,38,0,1,1,0,294,20230926165338,0,0,0
,906,922,285,314,39,0,1,1,0,294,20230926165338,0,0,0
,909,922,286,315,40,0,1,1,0,294,20230926165338,0,0,0
,912,930,287,316,41,0,1,1,0,294,20230926165338,0,0,0
,915,938,288,317,42,0,1,1,0,294,20230926165338,0,0,0
,918,946,289,318,43,0,1,1,0,294,20230926165338,0,0,0
,921,946,290,319,44,0,1,1,0,294,20230926165338,0,0,0
,924,954,291,320,45,0,1,1,0,294,20230926165338,0,0,0
,927,954,292,321,46,0,1,1,0,294,20230926165338,0,0,0
,930,954,293,322,47,0,1,1,0,294,20230926165338,0,0,0
,933,954,294,323,48,0,1,1,0,294,20230926165338,0,0,0
,936,954,295,324,49,0,1,1,0,294,20230926165338,0,0,0
,939,957,296,325,50,0,1,1,0,294,20230926165338,0,0,0
,942,957,297,326,51,0,1,1,0,294,20230926165338,0,0,0
RB,943,957,297,327,52,0,2,1,0,294,20230926165338,0,0,0
RB,945,971,297,328,52,0,2,1,0,294,20230926165338,0,0,0
RB,947,985,297,329,52,0,2,1,0,294,20230926165338,0,0,0
RB,949,999,297,330,52,0,2,1,0,294,20230926165338,0,0,0
RB,951,1013,297,331,52,0,2,1,0,294,20230926165338,0,0,0
RB,953,1027,297,332,52,0,2,1,0,294,20230926165338,0,0,0
RB,955,1041,297,333,52,0,2,1,0,294,20230926165338,0,0,0
RB,957,1055,297,334,52,0,2,1,0,294,20230926165338,0,0,0
,959,1069,298,335,0,0,2,1,0,294,20230926165338,0,0,0
,962,1069,299,336,1,0,2,1,0,294,20230926165338,0,0,0
,965,1077,300,337,2,0,2,1,0,294,20230926165338,0,0,0
,968,1085,301,338,3,0,2,1,0,294,20230926165338,0,0,0
,971,1085,302,339,4,0,2,1,0,294,20230926165338,0,0,0
,974,1088,303,340,5,0,2,1,0,294,20230926165338,0,0,0
,977,1088,304,341,6,0,2,1,0,294,20230926165338,0,0,0
,980,1088,305,342,7,0,2,1,0,294,20230926165338,0,0,0
,983,1088,306,343,8,0,2,1,0,294,20230926165338,0,0,0
,986,1088,307,344,9,0,2,1,0,294,20230926165338,0,0,0
,989,1088,308,345,10,0,2,1,0,294,20230926165338,0,0,0
,992,1088,309,346,11,0,2,1,0,294,20230926165338,0,0,0
,995,1091,310,347,12,0,2,1,0,294,20230926165338,0,0,0
,998,1091,311,348,13,0,2,1,0,294,20230926165338,0,0,0
,1001,1091,312,349,14,0,2,1,0,294,20230926165338,0,0,0
,1004,1099,313,350,15,0,2,1,0,294,20230926165338,0,0,0
,1007,1099,314,351,16,0,2,1,0,294,20230926165338,0,0,0
,1010,1099,315,352,17,0,2,1,0,294,20230926165338,0,0,0
,1013,1099,316,353,18,0,2,1,0,294,20230926165338,0,0,0
,1016,1102,317,354,19,0,2,1,0,294,20230926165338,0,0,0
,1019,1102,318,355,20,0,2,1,0,294,20230926165338,0,0,0
,1022,1105,319,356,21,0,2,1,0,294,20230926165338,0,0,0
,1025,1105,320,357,22,0,2,1,0,294,20230926165338,0,0,0
,1028,1105,321,358,23,0,2,1,0,294,20230926165338,0,0,0
,1031,1105,322,359,24,0,2,1,0,294,20230926165338,0,0,0
,1034,1105,323,360,25,0,2,1,0,294,20230926165338,0,0,0
,1037,1105,324,361,26,0,2,1,0,294,20230926165338,0,0,0
,1040,1108,325,362,27,0,2,1,0,294,20230926165338,0,0,0
,1043,1116,326,363,28,0,2,1,0,294,20230926165338,0,0,0
,1046,1116,327,364,29,0,2,1,0,294,20230926165338,0,0,0
,1049,1119,328,365,30,0,2,1,0,294,20230926165338,0,0,0
,1052,1121,329,366,31,0,2,1,0,294,20230926165338,0,0,0
,1055,1121,330,367,32,0,2,1,0,294,20230926165338,0,0,0
,1058,1123,331,368,33,0,2,1,0,294,20230926165338,0,0,0
,1061,1123,332,369,34,0,2,1,0,294,20230926165338,0,0,0
,1064,1123,333,370,35,0,2,1,0,294,20230926165338,0,0,0
,1067,1123,334,371,36,0,2,1,0,294,20230926165338,0,0,0
,1070,1123,335,372,37,0,2,1,0,294,20230926165338,0,0,0
,1073,1123,336,373,38,0,2,1,0,294,20230926165338,0,0,0
,1076,1126,337,374,39,0,2,1,0,294,20230926165338,0,0,0
,1079,1126,338,375,40,0,2,1,0,294,20230926165338,0,0,0
,1082,1126,339,376,41,0,2,1,0,294,20230926165338,0,0,0
,1085,1126,340,377,42,0,2,1,0,294,20230926165338,0,0,0
,1088,1126,341,378,43,0,2,1,0,294,20230926165338,0,0,0
,1091,1126,342,379,44,0,2,1,0,294,20230926165338,0,0,0
,1094,1126,343,380,45,0,2,1,0,294,20230926165338,0,0,0
,1097,1126,344,381,46,0,2,1,0,294,20230926165338,0,0,0
,1100,1129,345,382,47,0,2,1,0,294,20230926165338,0,0,0
,1103,1132,346,383,48,0,2,1,0,294,20230926165338,0,0,0
,1106,1132,347,384,49,0,2,1,0,294,20230926165338,0,0,0
,1109,1132,348,385,50,0,2,1,0,294,20230926165338,0,0,0
,1112,1135,349,386,51,0,2,1,0,294,20230926165338,0,0,0
,1115,1138,350,387,52,0,2,1,0,294,20230926165338,0,0,0
,1118,1141,351,388,53,0,2,1,0,294,20230926165338,0,0,0
,1121,1141,352,389,54,0,2,1,0,294,20230926165338,0,0,0
,1124,1141,353,390,55,0,2,1,0,294,20230926165338,0,0,0
,1127,1144,354,391,56,0,2,1,0,294,20230926165338,0,0,0
,1130,1144,355,392,57,0,2,1,0,294,20230926165338,0,0,0
,1133,1144,356,393,58,0,2,1,0,294,20230926165338,0,0,0
,1136,1146,357,394,59,0,2,1,0,294,20230926165338,0,0,0
,1139,1146,358,395,60,0,2,1,0,294,20230926165338,0,0,0
,1142,1146,359,396,61,0,2,1,0,294,20230926165338,0,0,0
,1145,1146,360,397,62,0,2,1,0,294,20230926165338,0,0,0
,1148,1146,361,398,63,0,2,1,0,294,20230926165338,0,0,0
,1151,1146,362,399,64,0,2,1,0,294,20230926165338,0,0,0
,1154,1149,363,400,65,0,2,1,0,294,20230926165338,0,0,0
,1157,1149,364,401,66,0,2,1,0,294,20230926165338,0,0,0
,1160,1157,365,402,67,0,2,1,0,294,20230926165338,0,0,0
,1163,1160,366,403,68,0,2,1,0,294,20230926165338,0,0,0
,1166,1160,367,404,69,0,2,1,0,294,20230926165338,0,0,0
,1169,1160,368,405,70,0,2,1,0,294,20230926165338,0,0,0
,1172,1163,369,406,71,0,2,1,0,294,20230926165338,0,0,0
,1175,1163,370,407,72,0,2,1,0,294,20230926165338,0,0,0
,1178,1163,371,408,73,0,2,1,0,294,20230926165338,0,0,0
,1181,1166,372,409,74,0,2,1,0,294,20230926165338,0,0,0
