Bonus_history,Coins_Inserted_Cumulative,Coins_Acquired_Cumulative,No_of_Rotation_(excluding_bonus),No_of_Rotation_(including_bonus),Rotations_Till_bonus,Junk1,No_of_Regular_Bonus,No_of_Big_Bonus,Junk2,Junk3,Junk4,Junk5,Junk6,Junk7
,117,64,40,40,39,0,0,0,0,294,20230929120523,0,0,0
,120,64,41,41,40,0,0,0,0,294,20230929120523,0,0,0
,123,67,42,42,41,0,0,0,0,294,20230929120523,0,0,0
,126,75,43,43,42,0,0,0,0,294,20230929120523,0,0,0
,129,75,44,44,43,0,0,0,0,294,20230929120523,0,0,0
,132,75,45,45,44,0,0,0,0,294,20230929120523,0,0,0
,135,75,46,46,45,0,0,0,0,294,20230929120523,0,0,0
,138,83,47,47,46,0,0,0,0,294,20230929120523,0,0,0
,141,83,48,48,47,0,0,0,0,294,20230929120523,0,0,0
,144,83,49,49,48,0,0,0,0,294,20230929120523,0,0,0
,147,83,50,50,49,0,0,0,0,294,20230929120523,0,0,0
,150,83,51,51,50,0,0,0,0,294,20230929120523,0,0,0
,153,83,52,52,51,0,0,0,0,294,20230929120523,0,0,0
,156,83,53,53,52,0,0,0,0,294,20230929120523,0,0,0
,159,85,54,54,53,0,0,0,0,294,20230929120523,0,0,0
,162,93,55,55,54,0,0,0,0,294,20230929120523,0,0,0
,165,101,56,56,55,0,0,0,0,294,20230929120523,0,0,0
,168,101,57,57,56,0,0,0,0,294,20230929120523,0,0,0
,171,101,58,58,57,0,0,0,0,294,20230929120523,0,0,0
,174,101,59,59,58,0,0,0,0,294,20230929120523,0,0,0
,177,101,60,60,59,0,0,0,0,294,20230929120523,0,0,0
,180,101,61,61,60,0,0,0,0,294,20230929120523,0,0,0
,183,109,62,62,61,0,0,0,0,294,20230929120523,0,0,0
,186,112,63,63,62,0,0,0,0,294,20230929120523,0,0,0
,189,112,64,64,63,0,0,0,0,294,20230929120523,0,0,0
,192,112,65,65,64,0,0,0,0,294,20230929120523,0,0,0
,195,112,66,66,65,0,0,0,0,294,20230929120523,0,0,0
,198,112,67,67,66,0,0,0,0,294,20230929120523,0,0,0
,201,112,68,68,67,0,0,0,0,294,20230929120523,0,0,0
,204,112,69,69,68,0,0,0,0,294,20230929120523,0,0,0
,207,120,70,70,69,0,0,0,0,294,20230929120523,0,0,0
,210,123,71,71,70,0,0,0,0,294,20230929120523,0,0,0
,213,123,72,72,71,0,0,0,0,294,20230929120523,0,0,0
,216,126,73,73,72,0,0,0,0,294,20230929120523,0,0,0
,219,126,74,74,73,0,0,0,0,294,20230929120523,0,0,0
,222,126,75,75,74,0,0,0,0,294,20230929120523,0,0,0
,225,134,76,76,75,0,0,0,0,294,20230929120523,0,0,0
,228,134,77,77,76,0,0,0,0,294,20230929120523,0,0,0
,231,134,78,78,77,0,0,0,0,294,20230929120523,0,0,0
,234,142,79,79,78,0,0,0,0,294,20230929120523,0,0,0
,237,142,80,80,79,0,0,0,0,294,20230929120523,0,0,0
,240,142,81,81,80,0,0,0,0,294,20230929120523,0,0,0
,243,142,82,82,81,0,0,0,0,294,20230929120523,0,0,0
,246,145,83,83,82,0,0,0,0,294,20230929120523,0,0,0
,249,145,84,84,83,0,0,0,0,294,20230929120523,0,0,0
,252,145,85,85,84,0,0,0,0,294,20230929120523,0,0,0
,255,148,86,86,85,0,0,0,0,294,20230929120523,0,0,0
,258,156,87,87,86,0,0,0,0,294,20230929120523,0,0,0
,261,156,88,88,87,0,0,0,0,294,20230929120523,0,0,0
,264,156,89,89,88,0,0,0,0,294,20230929120523,0,0,0
,267,156,90,90,89,0,0,0,0,294,20230929120523,0,0,0
,270,156,91,91,90,0,0,0,0,294,20230929120523,0,0,0
,273,156,92,92,91,0,0,0,0,294,20230929120523,0,0,0
,276,164,93,93,92,0,0,0,0,294,20230929120523,0,0,0
,279,164,94,94,93,0,0,0,0,294,20230929120523,0,0,0
,282,166,95,95,94,0,0,0,0,294,20230929120523,0,0,0
,285,166,96,96,95,0,0,0,0,294,20230929120523,0,0,0
RB,288,166,96,97,96,0,1,0,0,294,20230929120523,0,0,0
RB,290,180,96,98,96,0,1,0,0,294,20230929120523,0,0,0
RB,292,194,96,99,96,0,1,0,0,294,20230929120523,0,0,0
RB,294,208,96,100,96,0,1,0,0,294,20230929120523,0,0,0
RB,296,222,96,101,96,0,1,0,0,294,20230929120523,0,0,0
RB,298,236,96,102,96,0,1,0,0,294,20230929120523,0,0,0
RB,300,250,96,103,96,0,1,0,0,294,20230929120523,0,0,0
RB,302,264,96,104,96,0,1,0,0,294,20230929120523,0,0,0
,304,278,97,105,0,0,1,0,0,294,20230929120523,0,0,0
,307,278,98,106,1,0,1,0,0,294,20230929120523,0,0,0
,310,278,99,107,2,0,1,0,0,294,20230929120523,0,0,0
,313,278,100,108,3,0,1,0,0,294,20230929120523,0,0,0
,316,278,101,109,4,0,1,0,0,294,20230929120523,0,0,0
,319,278,102,110,5,0,1,0,0,294,20230929120523,0,0,0
,322,278,103,111,6,0,1,0,0,294,20230929120523,0,0,0
,325,278,104,112,7,0,1,0,0,294,20230929120523,0,0,0
,328,278,105,113,8,0,1,0,0,294,20230929120523,0,0,0
,331,278,106,114,9,0,1,0,0,294,20230929120523,0,0,0
,334,286,107,115,10,0,1,0,0,294,20230929120523,0,0,0
,337,289,108,116,11,0,1,0,0,294,20230929120523,0,0,0
,340,289,109,117,12,0,1,0,0,294,20230929120523,0,0,0
,343,289,110,118,13,0,1,0,0,294,20230929120523,0,0,0
,346,289,111,119,14,0,1,0,0,294,20230929120523,0,0,0
,349,289,112,120,15,0,1,0,0,294,20230929120523,0,0,0
,352,289,113,121,16,0,1,0,0,294,20230929120523,0,0,0
,355,289,114,122,17,0,1,0,0,294,20230929120523,0,0,0
,358,297,115,123,18,0,1,0,0,294,20230929120523,0,0,0
,361,297,116,124,19,0,1,0,0,294,20230929120523,0,0,0
,364,305,117,125,20,0,1,0,0,294,20230929120523,0,0,0
,367,305,118,126,21,0,1,0,0,294,20230929120523,0,0,0
,370,305,119,127,22,0,1,0,0,294,20230929120523,0,0,0
,373,305,120,128,23,0,1,0,0,294,20230929120523,0,0,0
,376,308,121,129,24,0,1,0,0,294,20230929120523,0,0,0
,379,308,122,130,25,0,1,0,0,294,20230929120523,0,0,0
,382,308,123,131,26,0,1,0,0,294,20230929120523,0,0,0
,385,308,124,132,27,0,1,0,0,294,20230929120523,0,0,0
,388,316,125,133,28,0,1,0,0,294,20230929120523,0,0,0
,391,316,126,134,29,0,1,0,0,294,20230929120523,0,0,0
,394,319,127,135,30,0,1,0,0,294,20230929120523,0,0,0
,397,319,128,136,31,0,1,0,0,294,20230929120523,0,0,0
,400,319,129,137,32,0,1,0,0,294,20230929120523,0,0,0
,403,319,130,138,33,0,1,0,0,294,20230929120523,0,0,0
,406,327,131,139,34,0,1,0,0,294,20230929120523,0,0,0
,409,327,132,140,35,0,1,0,0,294,20230929120523,0,0,0
,412,330,133,141,36,0,1,0,0,294,20230929120523,0,0,0
,415,333,134,142,37,0,1,0,0,294,20230929120523,0,0,0
,418,341,135,143,38,0,1,0,0,294,20230929120523,0,0,0
,421,341,136,144,39,0,1,0,0,294,20230929120523,0,0,0
,424,341,137,145,40,0,1,0,0,294,20230929120523,0,0,0
,427,341,138,146,41,0,1,0,0,294,20230929120523,0,0,0
,430,344,139,147,42,0,1,0,0,294,20230929120523,0,0,0
,433,352,140,148,43,0,1,0,0,294,20230929120523,0,0,0
,436,360,141,149,44,0,1,0,0,294,20230929120523,0,0,0
,439,360,142,150,45,0,1,0,0,294,20230929120523,0,0,0
,442,360,143,151,46,0,1,0,0,294,20230929120523,0,0,0
,445,360,144,152,47,0,1,0,0,294,20230929120523,0,0,0
,448,360,145,153,48,0,1,0,0,294,20230929120523,0,0,0
,451,360,146,154,49,0,1,0,0,294,20230929120523,0,0,0
RB,452,360,146,155,50,0,2,0,0,294,20230929120523,0,0,0
RB,454,374,146,156,50,0,2,0,0,294,20230929120523,0,0,0
RB,456,388,146,157,50,0,2,0,0,294,20230929120523,0,0,0
RB,458,402,146,158,50,0,2,0,0,294,20230929120523,0,0,0
RB,460,416,146,159,50,0,2,0,0,294,20230929120523,0,0,0
RB,462,430,146,160,50,0,2,0,0,294,20230929120523,0,0,0
RB,464,444,146,161,50,0,2,0,0,294,20230929120523,0,0,0
RB,466,458,146,162,50,0,2,0,0,294,20230929120523,0,0,0
,468,472,147,163,0,0,2,0,0,294,20230929120523,0,0,0
,471,474,148,164,1,0,2,0,0,294,20230929120523,0,0,0
,474,474,149,165,2,0,2,0,0,294,20230929120523,0,0,0
,477,474,150,166,3,0,2,0,0,294,20230929120523,0,0,0
,480,474,151,167,4,0,2,0,0,294,20230929120523,0,0,0
,483,474,152,168,5,0,2,0,0,294,20230929120523,0,0,0
,486,482,153,169,6,0,2,0,0,294,20230929120523,0,0,0
,489,482,154,170,7,0,2,0,0,294,20230929120523,0,0,0
,492,490,155,171,8,0,2,0,0,294,20230929120523,0,0,0
,495,490,156,172,9,0,2,0,0,294,20230929120523,0,0,0
,498,490,157,173,10,0,2,0,0,294,20230929120523,0,0,0
,501,490,158,174,11,0,2,0,0,294,20230929120523,0,0,0
,504,493,159,175,12,0,2,0,0,294,20230929120523,0,0,0
,507,493,160,176,13,0,2,0,0,294,20230929120523,0,0,0
,510,493,161,177,14,0,2,0,0,294,20230929120523,0,0,0
,513,493,162,178,15,0,2,0,0,294,20230929120523,0,0,0
,516,493,163,179,16,0,2,0,0,294,20230929120523,0,0,0
,519,493,164,180,17,0,2,0,0,294,20230929120523,0,0,0
,522,493,165,181,18,0,2,0,0,294,20230929120523,0,0,0
,525,493,166,182,19,0,2,0,0,294,20230929120523,0,0,0
,528,501,167,183,20,0,2,0,0,294,20230929120523,0,0,0
,531,501,168,184,21,0,2,0,0,294,20230929120523,0,0,0
,534,501,169,185,22,0,2,0,0,294,20230929120523,0,0,0
,537,501,170,186,23,0,2,0,0,294,20230929120523,0,0,0
,540,501,171,187,24,0,2,0,0,294,20230929120523,0,0,0
,543,504,172,188,25,0,2,0,0,294,20230929120523,0,0,0
,546,507,173,189,26,0,2,0,0,294,20230929120523,0,0,0
,549,515,174,190,27,0,2,0,0,294,20230929120523,0,0,0
,552,515,175,191,28,0,2,0,0,294,20230929120523,0,0,0
,555,515,176,192,29,0,2,0,0,294,20230929120523,0,0,0
,558,515,177,193,30,0,2,0,0,294,20230929120523,0,0,0
,561,515,178,194,31,0,2,0,0,294,20230929120523,0,0,0
,564,523,179,195,32,0,2,0,0,294,20230929120523,0,0,0
,567,523,180,196,33,0,2,0,0,294,20230929120523,0,0,0
,570,531,181,197,34,0,2,0,0,294,20230929120523,0,0,0
,573,539,182,198,35,0,2,0,0,294,20230929120523,0,0,0
,576,547,183,199,36,0,2,0,0,294,20230929120523,0,0,0
,579,547,184,200,37,0,2,0,0,294,20230929120523,0,0,0
,582,547,185,201,38,0,2,0,0,294,20230929120523,0,0,0
,585,547,186,202,39,0,2,0,0,294,20230929120523,0,0,0
,588,547,187,203,40,0,2,0,0,294,20230929120523,0,0,0
,591,547,188,204,41,0,2,0,0,294,20230929120523,0,0,0
,594,555,189,205,42,0,2,0,0,294,20230929120523,0,0,0
,597,555,190,206,43,0,2,0,0,294,20230929120523,0,0,0
,600,555,191,207,44,0,2,0,0,294,20230929120523,0,0,0
,603,555,192,208,45,0,2,0,0,294,20230929120523,0,0,0
,606,555,193,209,46,0,2,0,0,294,20230929120523,0,0,0
,609,555,194,210,47,0,2,0,0,294,20230929120523,0,0,0
,612,563,195,211,48,0,2,0,0,294,20230929120523,0,0,0
,615,563,196,212,49,0,2,0,0,294,20230929120523,0,0,0
,618,563,197,213,50,0,2,0,0,294,20230929120523,0,0,0
,621,563,198,214,51,0,2,0,0,294,20230929120523,0,0,0
,624,571,199,215,52,0,2,0,0,294,20230929120523,0,0,0
,627,571,200,216,53,0,2,0,0,294,20230929120523,0,0,0
,630,574,201,217,54,0,2,0,0,294,20230929120523,0,0,0
,633,574,202,218,55,0,2,0,0,294,20230929120523,0,0,0
,636,574,203,219,56,0,2,0,0,294,20230929120523,0,0,0
,639,574,204,220,57,0,2,0,0,294,20230929120523,0,0,0
,642,574,205,221,58,0,2,0,0,294,20230929120523,0,0,0
,645,574,206,222,59,0,2,0,0,294,20230929120523,0,0,0
,648,574,207,223,60,0,2,0,0,294,20230929120523,0,0,0
,651,574,208,224,61,0,2,0,0,294,20230929120523,0,0,0
,654,574,209,225,62,0,2,0,0,294,20230929120523,0,0,0
,657,582,210,226,63,0,2,0,0,294,20230929120523,0,0,0
,660,585,211,227,64,0,2,0,0,294,20230929120523,0,0,0
,663,593,212,228,65,0,2,0,0,294,20230929120523,0,0,0
,666,593,213,229,66,0,2,0,0,294,20230929120523,0,0,0
,669,593,214,230,67,0,2,0,0,294,20230929120523,0,0,0
,672,593,215,231,68,0,2,0,0,294,20230929120523,0,0,0
,675,593,216,232,69,0,2,0,0,294,20230929120523,0,0,0
,678,593,217,233,70,0,2,0,0,294,20230929120523,0,0,0
,681,593,218,234,71,0,2,0,0,294,20230929120523,0,0,0
,684,593,219,235,72,0,2,0,0,294,20230929120523,0,0,0
,687,593,220,236,73,0,2,0,0,294,20230929120523,0,0,0
,690,601,221,237,74,0,2,0,0,294,20230929120523,0,0,0
,693,601,222,238,75,0,2,0,0,294,20230929120523,0,0,0
,696,601,223,239,76,0,2,0,0,294,20230929120523,0,0,0
,699,601,224,240,77,0,2,0,0,294,20230929120523,0,0,0
,702,601,225,241,78,0,2,0,0,294,20230929120523,0,0,0
,705,609,226,242,79,0,2,0,0,294,20230929120523,0,0,0
,708,609,227,243,80,0,2,0,0,294,20230929120523,0,0,0
,711,609,228,244,81,0,2,0,0,294,20230929120523,0,0,0
,714,609,229,245,82,0,2,0,0,294,20230929120523,0,0,0
,717,609,230,246,83,0,2,0,0,294,20230929120523,0,0,0
,720,609,231,247,84,0,2,0,0,294,20230929120523,0,0,0
,723,609,232,248,85,0,2,0,0,294,20230929120523,0,0,0
,726,609,233,249,86,0,2,0,0,294,20230929120523,0,0,0
,729,617,234,250,87,0,2,0,0,294,20230929120523,0,0,0
,732,617,235,251,88,0,2,0,0,294,20230929120523,0,0,0
,735,617,236,252,89,0,2,0,0,294,20230929120523,0,0,0
,738,620,237,253,90,0,2,0,0,294,20230929120523,0,0,0
,741,620,238,254,91,0,2,0,0,294,20230929120523,0,0,0
,744,620,239,255,92,0,2,0,0,294,20230929120523,0,0,0
,747,620,240,256,93,0,2,0,0,294,20230929120523,0,0,0
,750,623,241,257,94,0,2,0,0,294,20230929120523,0,0,0
,753,623,242,258,95,0,2,0,0,294,20230929120523,0,0,0
,756,626,243,259,96,0,2,0,0,294,20230929120523,0,0,0
,759,626,244,260,97,0,2,0,0,294,20230929120523,0,0,0
,762,626,245,261,98,0,2,0,0,294,20230929120523,0,0,0
,765,634,246,262,99,0,2,0,0,294,20230929120523,0,0,0
,768,634,247,263,100,0,2,0,0,294,20230929120523,0,0,0
,771,634,248,264,101,0,2,0,0,294,20230929120523,0,0,0
,774,634,249,265,102,0,2,0,0,294,20230929120523,0,0,0
,777,637,250,266,103,0,2,0,0,294,20230929120523,0,0,0
,780,640,251,267,104,0,2,0,0,294,20230929120523,0,0,0
,783,648,252,268,105,0,2,0,0,294,20230929120523,0,0,0
,786,651,253,269,106,0,2,0,0,294,20230929120523,0,0,0
,789,651,254,270,107,0,2,0,0,294,20230929120523,0,0,0
,792,651,255,271,108,0,2,0,0,294,20230929120523,0,0,0
,795,659,256,272,109,0,2,0,0,294,20230929120523,0,0,0
,798,659,257,273,110,0,2,0,0,294,20230929120523,0,0,0
,801,659,258,274,111,0,2,0,0,294,20230929120523,0,0,0
,804,659,259,275,112,0,2,0,0,294,20230929120523,0,0,0
,807,667,260,276,113,0,2,0,0,294,20230929120523,0,0,0
,810,667,261,277,114,0,2,0,0,294,20230929120523,0,0,0
,813,667,262,278,115,0,2,0,0,294,20230929120523,0,0,0
,816,670,263,279,116,0,2,0,0,294,20230929120523,0,0,0
,819,670,264,280,117,0,2,0,0,294,20230929120523,0,0,0
,822,670,265,281,118,0,2,0,0,294,20230929120523,0,0,0
,825,670,266,282,119,0,2,0,0,294,20230929120523,0,0,0
,828,678,267,283,120,0,2,0,0,294,20230929120523,0,0,0
,831,678,268,284,121,0,2,0,0,294,20230929120523,0,0,0
,834,680,269,285,122,0,2,0,0,294,20230929120523,0,0,0
,837,680,270,286,123,0,2,0,0,294,20230929120523,0,0,0
,840,680,271,287,124,0,2,0,0,294,20230929120523,0,0,0
,843,680,272,288,125,0,2,0,0,294,20230929120523,0,0,0
,846,680,273,289,126,0,2,0,0,294,20230929120523,0,0,0
,849,680,274,290,127,0,2,0,0,294,20230929120523,0,0,0
,852,680,275,291,128,0,2,0,0,294,20230929120523,0,0,0
,855,680,276,292,129,0,2,0,0,294,20230929120523,0,0,0
,858,680,277,293,130,0,2,0,0,294,20230929120523,0,0,0
,861,680,278,294,131,0,2,0,0,294,20230929120523,0,0,0
,864,680,279,295,132,0,2,0,0,294,20230929120523,0,0,0
,867,688,280,296,133,0,2,0,0,294,20230929120523,0,0,0
,870,688,281,297,134,0,2,0,0,294,20230929120523,0,0,0
,873,688,282,298,135,0,2,0,0,294,20230929120523,0,0,0
,876,688,283,299,136,0,2,0,0,294,20230929120523,0,0,0
,879,688,284,300,137,0,2,0,0,294,20230929120523,0,0,0
,882,691,285,301,138,0,2,0,0,294,20230929120523,0,0,0
,885,691,286,302,139,0,2,0,0,294,20230929120523,0,0,0
,888,699,287,303,140,0,2,0,0,294,20230929120523,0,0,0
,891,699,288,304,141,0,2,0,0,294,20230929120523,0,0,0
,894,701,289,305,142,0,2,0,0,294,20230929120523,0,0,0
,897,704,290,306,143,0,2,0,0,294,20230929120523,0,0,0
,900,704,291,307,144,0,2,0,0,294,20230929120523,0,0,0
,903,712,292,308,145,0,2,0,0,294,20230929120523,0,0,0
,906,712,293,309,146,0,2,0,0,294,20230929120523,0,0,0
,909,712,294,310,147,0,2,0,0,294,20230929120523,0,0,0
,912,715,295,311,148,0,2,0,0,294,20230929120523,0,0,0
,915,723,296,312,149,0,2,0,0,294,20230929120523,0,0,0
,918,723,297,313,150,0,2,0,0,294,20230929120523,0,0,0
,921,723,298,314,151,0,2,0,0,294,20230929120523,0,0,0
,924,723,299,315,152,0,2,0,0,294,20230929120523,0,0,0
,927,723,300,316,153,0,2,0,0,294,20230929120523,0,0,0
,930,723,301,317,154,0,2,0,0,294,20230929120523,0,0,0
,933,723,302,318,155,0,2,0,0,294,20230929120523,0,0,0
,936,731,303,319,156,0,2,0,0,294,20230929120523,0,0,0
,939,731,304,320,157,0,2,0,0,294,20230929120523,0,0,0
,942,733,305,321,158,0,2,0,0,294,20230929120523,0,0,0
,945,733,306,322,159,0,2,0,0,294,20230929120523,0,0,0
,948,733,307,323,160,0,2,0,0,294,20230929120523,0,0,0
,951,733,308,324,161,0,2,0,0,294,20230929120523,0,0,0
,954,733,309,325,162,0,2,0,0,294,20230929120523,0,0,0
,957,741,310,326,163,0,2,0,0,294,20230929120523,0,0,0
,960,743,311,327,164,0,2,0,0,294,20230929120523,0,0,0
,963,746,312,328,165,0,2,0,0,294,20230929120523,0,0,0
,966,754,313,329,166,0,2,0,0,294,20230929120523,0,0,0
,969,762,314,330,167,0,2,0,0,294,20230929120523,0,0,0
,972,762,315,331,168,0,2,0,0,294,20230929120523,0,0,0
,975,770,316,332,169,0,2,0,0,294,20230929120523,0,0,0
,978,778,317,333,170,0,2,0,0,294,20230929120523,0,0,0
,981,781,318,334,171,0,2,0,0,294,20230929120523,0,0,0
,984,784,319,335,172,0,2,0,0,294,20230929120523,0,0,0
,987,784,320,336,173,0,2,0,0,294,20230929120523,0,0,0
,990,787,321,337,174,0,2,0,0,294,20230929120523,0,0,0
,993,787,322,338,175,0,2,0,0,294,20230929120523,0,0,0
,996,787,323,339,176,0,2,0,0,294,20230929120523,0,0,0
,999,787,324,340,177,0,2,0,0,294,20230929120523,0,0,0
,1002,795,325,341,178,0,2,0,0,294,20230929120523,0,0,0
,1005,795,326,342,179,0,2,0,0,294,20230929120523,0,0,0
,1008,803,327,343,180,0,2,0,0,294,20230929120523,0,0,0
,1011,803,328,344,181,0,2,0,0,294,20230929120523,0,0,0
,1014,803,329,345,182,0,2,0,0,294,20230929120523,0,0,0
,1017,803,330,346,183,0,2,0,0,294,20230929120523,0,0,0
,1020,803,331,347,184,0,2,0,0,294,20230929120523,0,0,0
,1023,803,332,348,185,0,2,0,0,294,20230929120523,0,0,0
,1026,803,333,349,186,0,2,0,0,294,20230929120523,0,0,0
,1029,803,334,350,187,0,2,0,0,294,20230929120523,0,0,0
,1032,811,335,351,188,0,2,0,0,294,20230929120523,0,0,0
,1035,811,336,352,189,0,2,0,0,294,20230929120523,0,0,0
,1038,814,337,353,190,0,2,0,0,294,20230929120523,0,0,0
,1041,814,338,354,191,0,2,0,0,294,20230929120523,0,0,0
,1044,822,339,355,192,0,2,0,0,294,20230929120523,0,0,0
,1047,830,340,356,193,0,2,0,0,294,20230929120523,0,0,0
,1050,830,341,357,194,0,2,0,0,294,20230929120523,0,0,0
,1053,833,342,358,195,0,2,0,0,294,20230929120523,0,0,0
,1056,836,343,359,196,0,2,0,0,294,20230929120523,0,0,0
,1059,839,344,360,197,0,2,0,0,294,20230929120523,0,0,0
,1062,839,345,361,198,0,2,0,0,294,20230929120523,0,0,0
,1065,839,346,362,199,0,2,0,0,294,20230929120523,0,0,0
,1068,847,347,363,200,0,2,0,0,294,20230929120523,0,0,0
,1071,850,348,364,201,0,2,0,0,294,20230929120523,0,0,0
,1074,850,349,365,202,0,2,0,0,294,20230929120523,0,0,0
,1077,850,350,366,203,0,2,0,0,294,20230929120523,0,0,0
,1080,858,351,367,204,0,2,0,0,294,20230929120523,0,0,0
,1083,866,352,368,205,0,2,0,0,294,20230929120523,0,0,0
,1086,869,353,369,206,0,2,0,0,294,20230929120523,0,0,0
,1089,872,354,370,207,0,2,0,0,294,20230929120523,0,0,0
,1092,872,355,371,208,0,2,0,0,294,20230929120523,0,0,0
,1095,872,356,372,209,0,2,0,0,294,20230929120523,0,0,0
,1098,880,357,373,210,0,2,0,0,294,20230929120523,0,0,0
,1101,880,358,374,211,0,2,0,0,294,20230929120523,0,0,0
,1104,888,359,375,212,0,2,0,0,294,20230929120523,0,0,0
,1107,888,360,376,213,0,2,0,0,294,20230929120523,0,0,0
,1110,888,361,377,214,0,2,0,0,294,20230929120523,0,0,0
,1113,888,362,378,215,0,2,0,0,294,20230929120523,0,0,0
,1116,891,363,379,216,0,2,0,0,294,20230929120523,0,0,0
,1119,891,364,380,217,0,2,0,0,294,20230929120523,0,0,0
,1122,891,365,381,218,0,2,0,0,294,20230929120523,0,0,0
,1123,891,366,382,219,0,2,0,0,294,20230929120523,0,0,0
,1124,891,367,383,220,0,2,0,0,294,20230929120523,0,0,0
RB,1125,891,367,384,221,0,3,0,0,294,20230929120523,0,0,0
RB,1127,905,367,385,221,0,3,0,0,294,20230929120523,0,0,0
RB,1129,919,367,386,221,0,3,0,0,294,20230929120523,0,0,0
RB,1131,933,367,387,221,0,3,0,0,294,20230929120523,0,0,0
RB,1133,947,367,388,221,0,3,0,0,294,20230929120523,0,0,0
RB,1135,961,367,389,221,0,3,0,0,294,20230929120523,0,0,0
RB,1137,975,367,390,221,0,3,0,0,294,20230929120523,0,0,0
RB,1139,989,367,391,221,0,3,0,0,294,20230929120523,0,0,0
,1141,1003,368,392,0,0,3,0,0,294,20230929120523,0,0,0
,1144,1011,369,393,1,0,3,0,0,294,20230929120523,0,0,0
,1147,1019,370,394,2,0,3,0,0,294,20230929120523,0,0,0
,1150,1019,371,395,3,0,3,0,0,294,20230929120523,0,0,0
,1153,1019,372,396,4,0,3,0,0,294,20230929120523,0,0,0
,1156,1022,373,397,5,0,3,0,0,294,20230929120523,0,0,0
,1159,1022,374,398,6,0,3,0,0,294,20230929120523,0,0,0
,1162,1022,375,399,7,0,3,0,0,294,20230929120523,0,0,0
,1165,1025,376,400,8,0,3,0,0,294,20230929120523,0,0,0
,1168,1025,377,401,9,0,3,0,0,294,20230929120523,0,0,0
,1171,1025,378,402,10,0,3,0,0,294,20230929120523,0,0,0
,1174,1028,379,403,11,0,3,0,0,294,20230929120523,0,0,0
,1177,1028,380,404,12,0,3,0,0,294,20230929120523,0,0,0
,1180,1036,381,405,13,0,3,0,0,294,20230929120523,0,0,0
,1183,1036,382,406,14,0,3,0,0,294,20230929120523,0,0,0
,1186,1036,383,407,15,0,3,0,0,294,20230929120523,0,0,0
,1189,1039,384,408,16,0,3,0,0,294,20230929120523,0,0,0
,1192,1042,385,409,17,0,3,0,0,294,20230929120523,0,0,0
,1195,1042,386,410,18,0,3,0,0,294,20230929120523,0,0,0
,1198,1042,387,411,19,0,3,0,0,294,20230929120523,0,0,0
