"店舗コード","企業名","店舗名","機番号","備考","売上集計日","売上連番","売上時間","削除フラグ","チケット種類","購入方法","電子マネー","売上金額","品目名","グループ名","枚数","税率"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16436","2022-10-01 13:56:20","通常売上","通常券","店内／現金","","200","とり天＋ライスセット","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16437","2022-10-01 13:57:00","通常売上","通常券","店内／現金","","980","熟成塩鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16438","2022-10-01 13:57:49","通常売上","通常券","店内／現金","","900","まぜそば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16439","2022-10-01 13:57:49","通常売上","通常券","店内／現金","","200","バターご飯セット","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16440","2022-10-01 13:58:11","通常売上","通常券","店内／現金","","830","鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16441","2022-10-01 13:59:13","通常売上","通常券","店内／現金","","830","鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16442","2022-10-01 13:59:13","通常売上","通常券","店内／現金","","100","煮卵","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16443","2022-10-01 14:05:51","通常売上","通常券","店内／現金","","980","熟成塩鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16444","2022-10-01 14:14:02","通常売上","通常券","店内／現金","","950","タイそば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16445","2022-10-01 14:14:02","通常売上","通常券","店内／現金","","200","チャーシュー増し","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16446","2022-10-01 14:14:08","通常売上","通常券","店内／現金","","950","タイそば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16447","2022-10-01 14:35:55","通常売上","通常券","店内／現金","","980","熟成塩鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16448","2022-10-01 14:54:13","通常売上","通常券","店内／現金","","830","鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16449","2022-10-01 14:58:10","通常売上","通常券","店内／現金","","900","まぜそば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16450","2022-10-01 15:03:29","通常売上","通常券","店内／現金","","830","鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16451","2022-10-01 15:03:29","通常売上","通常券","店内／現金","","350","ももご飯","ご飯もの","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16452","2022-10-01 18:04:24","通常売上","通常券","店内／現金","","900","まぜそば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16453","2022-10-01 18:28:41","通常売上","通常券","店内／現金","","830","鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16454","2022-10-01 18:28:41","通常売上","通常券","店内／現金","","250","バターご飯","ご飯もの","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16455","2022-10-01 18:29:24","通常売上","通常券","店内／現金","","980","熟成塩鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16456","2022-10-01 18:46:27","通常売上","通常券","店内／現金","","980","熟成塩鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16457","2022-10-01 18:47:09","通常売上","通常券","店内／現金","","390","生ビール","ドリンク","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16458","2022-10-01 18:50:10","通常売上","通常券","店内／現金","","390","生ビール","ドリンク","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16459","2022-10-01 18:50:10","通常売上","通常券","店内／現金","","830","鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16460","2022-10-01 18:52:53","通常売上","通常券","店内／現金","","830","鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16461","2022-10-01 19:31:38","通常売上","通常券","店内／現金","","250","鶏めし","ご飯もの","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16462","2022-10-01 19:31:38","通常売上","通常券","店内／現金","","200","ご飯もの大盛","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16463","2022-10-01 19:31:38","通常売上","通常券","店内／現金","","100","煮卵","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16464","2022-10-01 19:34:00","通常売上","通常券","店内／現金","","830","鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16465","2022-10-01 19:34:00","通常売上","通常券","店内／現金","","100","煮卵","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16466","2022-10-01 19:34:00","通常売上","通常券","店内／現金","","250","バターご飯","ご飯もの","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16467","2022-10-01 19:34:00","通常売上","通常券","店内／現金","","150","とり天","一品","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16468","2022-10-01 19:34:00","通常売上","通常券","店内／現金","","950","タイそば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16469","2022-10-01 19:49:06","通常売上","通常券","店内／現金","","930","熟成しょうゆ鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16470","2022-10-01 19:52:40","通常売上","通常券","店内／現金","","830","鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16471","2022-10-01 19:52:40","通常売上","通常券","店内／現金","","100","麺大盛","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16472","2022-10-01 19:52:40","通常売上","通常券","店内／現金","","100","煮卵","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16473","2022-10-01 19:52:40","通常売上","通常券","店内／現金","","950","タイそば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16474","2022-10-01 20:05:01","通常売上","通常券","店内／現金","","830","鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16475","2022-10-01 20:05:27","通常売上","通常券","店内／現金","","250","バターご飯","ご飯もの","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16476","2022-10-01 20:18:06","通常売上","通常券","店内／現金","","830","鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16477","2022-10-01 20:18:06","通常売上","複数券","店内／現金","","100","煮卵","トッピング","2","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16478","2022-10-01 20:18:06","通常売上","通常券","店内／現金","","980","熟成塩鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16479","2022-10-01 20:18:06","通常売上","通常券","店内／現金","","250","バターご飯","ご飯もの","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16480","2022-10-01 20:28:37","通常売上","通常券","店内／現金","","830","鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16481","2022-10-01 20:28:37","通常売上","通常券","店内／現金","","100","煮卵","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16482","2022-10-01 20:30:05","通常売上","通常券","店内／現金","","950","タイそば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16483","2022-10-01 20:30:05","通常売上","通常券","店内／現金","","100","煮卵","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16484","2022-10-01 20:30:05","通常売上","通常券","店内／現金","","100","麺大盛","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16485","2022-10-01 20:35:21","通常売上","通常券","店内／現金","","900","まぜそば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16486","2022-10-01 20:35:21","通常売上","通常券","店内／現金","","200","チャーシュー増し","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16487","2022-10-01 20:35:40","通常売上","通常券","店内／現金","","900","まぜそば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16488","2022-10-01 20:35:40","通常売上","通常券","店内／現金","","100","煮卵","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16489","2022-10-01 20:35:48","通常売上","通常券","店内／現金","","900","まぜそば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16490","2022-10-01 20:35:48","通常売上","通常券","店内／現金","","100","煮卵","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16491","2022-10-01 20:43:44","通常売上","通常券","店内／現金","","900","まぜそば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16492","2022-10-01 20:43:44","通常売上","通常券","店内／現金","","70","まぜそば〆ご飯","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16493","2022-10-01 20:55:58","通常売上","通常券","店内／現金","","830","鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16494","2022-10-01 20:56:46","通常売上","通常券","店内／現金","","980","熟成塩鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16495","2022-10-01 20:56:46","通常売上","通常券","店内／現金","","250","バターご飯","ご飯もの","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16496","2022-10-01 21:09:41","通常売上","通常券","店内／現金","","900","まぜそば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16497","2022-10-01 21:09:41","通常売上","通常券","店内／現金","","950","タイそば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16498","2022-10-01 21:09:41","通常売上","通常券","店内／現金","","100","煮卵","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16499","2022-10-01 21:13:16","通常売上","通常券","店内／現金","","830","鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16500","2022-10-01 21:13:16","通常売上","通常券","店内／現金","","100","煮卵","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16501","2022-10-01 21:38:09","通常売上","通常券","店内／現金","","950","タイそば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16502","2022-10-01 21:38:09","通常売上","通常券","店内／現金","","250","バターご飯","ご飯もの","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16503","2022-10-01 21:38:09","通常売上","通常券","店内／現金","","830","鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16504","2022-10-01 21:38:09","通常売上","通常券","店内／現金","","100","煮卵","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16505","2022-10-01 21:40:50","通常売上","通常券","店内／現金","","980","熟成塩鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16506","2022-10-01 21:41:21","通常売上","通常券","店内／現金","","880","塩鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16507","2022-10-01 21:42:01","通常売上","通常券","店内／現金","","980","熟成塩鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-02","16508","2022-10-02 11:32:21","通常売上","通常券","店内／現金","","880","塩鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-02","16509","2022-10-02 11:32:21","通常売上","通常券","店内／現金","","980","熟成塩鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-02","16510","2022-10-02 11:32:21","通常売上","通常券","店内／現金","","200","チャーシュー増し","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-02","16511","2022-10-02 11:32:21","通常売上","通常券","店内／現金","","200","バターご飯セット","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-02","16512","2022-10-02 11:34:03","通常売上","通常券","店内／現金","","830","鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-02","16513","2022-10-02 11:34:03","通常売上","通常券","店内／現金","","200","チャーシュー増し","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-02","16514","2022-10-02 11:34:03","通常売上","通常券","店内／現金","","100","麺大盛","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-02","16515","2022-10-02 11:34:03","通常売上","通常券","店内／現金","","200","とり天＋ライスセット","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-02","16516","2022-10-02 11:40:37","通常売上","複数券","店内／現金","","830","鶏そば","ラーメン","2","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-02","16517","2022-10-02 11:40:37","通常売上","複数券","店内／現金","","100","煮卵","トッピング","2","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-02","16518","2022-10-02 11:41:06","通常売上","通常券","店内／現金","","980","熟成塩鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-02","16519","2022-10-02 11:41:28","通常売上","通常券","店内／現金","","150","とり天","一品","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-02","16520","2022-10-02 11:55:57","通常売上","通常券","店内／現金","","830","鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-02","16521","2022-10-02 12:00:50","通常売上","通常券","店内／現金","","900","まぜそば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-02","16522","2022-10-02 12:00:50","通常売上","通常券","店内／現金","","500","お子様鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-02","16523","2022-10-02 12:00:50","通常売上","通常券","店内／現金","","930","熟成しょうゆ鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-02","16524","2022-10-02 12:00:50","通常売上","通常券","店内／現金","","100","麺大盛","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-02","16525","2022-10-02 12:00:50","通常売上","通常券","店内／現金","","200","チャーシュー増し","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-02","16526","2022-10-02 12:01:21","通常売上","通常券","店内／現金","","200","とり天＋ライスセット","トッピング","1","0"
